service_name,category,monthly_active_users_millions,data_types_collected,permissions_requested,third_party_trackers_detected,data_shared_with_partners,known_data_breaches,encryption_level,privacy_policy_transparency_score,ad_personalization_enabled,location_tracking,biometric_data_collected,cross_platform_linking,account_age_days,login_frequency_per_month,avg_session_minutes
DealNest,E-Commerce,24.9,Messages Content|IP Address|Payment Details|Photos|Social Graph|Search History,5,18,No,0,Basic,3.9,Yes,No,No,Yes,750,14.3,47.5
IoTLink,Smart Home / IoT,52.5,Full Name|Search History|Calendar Data|Voice Recordings|Purchase History|Messages Content,11,3,Yes,1,Basic,3.9,Yes,Yes,No,Yes,1808,26.4,74.7
MapTrail,Navigation,155.9,Search History|Calendar Data|Approximate Location|Email|Photos|Messages Content|Social Graph,16,6,No,1,Basic,4.3,No,Yes,No,Yes,2480,14.7,41.6
NaviGo,Navigation,300.8,Device Identifiers|Precise Location|Biometric Data|Full Name|Phone Number|Photos|Voice Recordings|Calendar Data,11,8,No,1,Basic,5.4,No,Yes,No,Yes,972,4.5,35.8
MealNest,Food Delivery,152.7,Browsing History|Messages Content|Email|Social Graph|Precise Location|Health Metrics|Watch/Listen History|Search History|Payment Details,22,6,Yes,1,Strong,7.5,Yes,No,No,Yes,2578,17.5,71.4
SmartNest,Smart Home / IoT,82.4,Purchase History|Browsing History|IP Address|Calendar Data|Watch/Listen History|Photos|Approximate Location|Contacts|Search History|Messages Content,5,4,No,2,Basic,7.2,Yes,No,No,Yes,2543,2.4,32.6
Trendly,Social Media,82.5,Social Graph|Health Metrics|Browsing History|Calendar Data|IP Address|Full Name|Purchase History|Voice Recordings|Biometric Data|Approximate Location|Phone Number|Contacts|Search History|Device Identifiers,11,8,Yes,1,Basic,4.1,Yes,Yes,No,Yes,1379,14.1,50.0
PathFinderPlus,Navigation,266.9,Email|Watch/Listen History|Phone Number|Biometric Data|Social Graph|Photos|Search History|Payment Details,15,9,Yes,0,Basic,3.8,Yes,Yes,No,Yes,202,5.7,63.1
WorkSuite,Productivity,229.4,Precise Location|Phone Number|Biometric Data|Device Identifiers|Search History|Voice Recordings|Watch/Listen History,9,6,No,1,Strong,6.6,No,No,No,Yes,917,10.0,28.7
ShopEase,E-Commerce,273.1,Health Metrics|Email|Voice Recordings|Watch/Listen History|Full Name|Payment Details,9,7,Yes,2,Basic,5.1,Yes,No,No,Yes,712,18.2,74.9
SkillNest,Education,347.3,Biometric Data|Payment Details|Health Metrics|Messages Content,16,7,No,0,Basic,5.9,No,No,No,Yes,126,28.3,31.1
HeartLink,Dating,162.4,Photos|Browsing History|Messages Content|Search History|Approximate Location|Full Name|Precise Location|Biometric Data|Email,4,5,No,2,Strong,3.6,Yes,Yes,No,No,1958,26.6,42.6
NewsPulse,News & Media,323.3,Photos|Watch/Listen History|Full Name|Purchase History|Precise Location,13,11,No,0,Strong,5.5,Yes,Yes,No,Yes,687,11.8,9.3
CoinSecure,Finance,287.1,Phone Number|Browsing History|Email|Health Metrics|IP Address|Messages Content|Voice Recordings|Watch/Listen History,11,5,No,1,Basic,3.1,No,No,Yes,Yes,1692,10.3,14.7
ArcadeHub,Gaming,436.5,Contacts|IP Address|Precise Location|Voice Recordings|Watch/Listen History|Browsing History,6,7,Yes,1,Strong,8.1,Yes,Yes,No,Yes,1048,11.1,55.3
GeoLoop,Navigation,371.3,Device Identifiers|Search History|Messages Content|Precise Location|Purchase History|Email,16,10,Yes,0,Strong,4.6,Yes,Yes,No,No,1645,21.7,19.2
WalletWise,Finance,140.3,Social Graph|Contacts|Calendar Data|Device Identifiers|Approximate Location|Biometric Data|Watch/Listen History,17,2,No,1,Basic,2.1,No,Yes,No,Yes,2009,8.4,66.7
BankLink,Finance,128.3,IP Address|Social Graph|Precise Location|Biometric Data|Payment Details|Email,3,1,Yes,0,Basic,6.8,No,No,Yes,Yes,1397,17.4,72.7
LoveLoop,Dating,70.5,Purchase History|Photos|Browsing History|Precise Location|Health Metrics|Messages Content|Email|Phone Number|Biometric Data,17,12,Yes,2,Basic,5.7,No,Yes,Yes,No,847,13.8,49.1
ConnectDate,Dating,196.6,Email|Photos|Watch/Listen History|IP Address|Messages Content|Search History|Precise Location|Contacts|Device Identifiers|Calendar Data|Payment Details|Browsing History,4,9,Yes,1,Strong,8.0,Yes,Yes,No,No,2127,27.0,41.6
MarketLoop,E-Commerce,253.2,Voice Recordings|IP Address|Calendar Data|Phone Number|Search History|Full Name|Purchase History|Payment Details|Social Graph,11,15,No,0,Basic,4.3,No,No,No,No,1414,23.3,63.0
ConnectSphere,Social Media,373.2,Contacts|Messages Content|Social Graph|Precise Location|Health Metrics|Payment Details|Search History|Full Name|Purchase History|Calendar Data|Biometric Data,10,11,Yes,2,Basic,1,Yes,No,No,Yes,544,7.0,67.2
TripNest,Travel,32.9,Browsing History|Social Graph|Email|Precise Location|Watch/Listen History|Biometric Data|Health Metrics|Approximate Location|Voice Recordings,18,6,Yes,1,Basic,3.2,Yes,Yes,No,Yes,246,3.3,31.8
FeedLine,News & Media,91.1,Watch/Listen History|Photos|Messages Content|Voice Recordings|Payment Details,16,20,Yes,0,Strong,5.4,Yes,No,No,Yes,1368,1.8,60.9
FlyPath,Travel,358.9,Calendar Data|Watch/Listen History|Photos|IP Address|Purchase History|Social Graph|Voice Recordings|Browsing History,21,7,No,1,Basic,3.9,Yes,No,Yes,No,262,22.8,16.9
CineFlow,Streaming,258.9,Search History|Voice Recordings|Photos|Purchase History|Precise Location|Payment Details|Phone Number|Calendar Data,22,5,Yes,1,Basic,1.2,No,No,No,Yes,1697,3.2,9.2
FoodDash,Food Delivery,234.1,Social Graph|Phone Number|Photos|Purchase History|Approximate Location|Contacts|Precise Location|Voice Recordings|Email,19,8,Yes,1,Basic,6.0,Yes,Yes,No,Yes,1793,25.1,16.5
PulseHealth,Health & Fitness,320.4,Watch/Listen History|Biometric Data|IP Address|Browsing History|Photos|Full Name|Social Graph|Device Identifiers|Calendar Data|Email,21,10,No,0,Strong,7.6,Yes,Yes,Yes,No,1730,23.3,74.8
TaskFlow,Productivity,194.2,Social Graph|Contacts|Voice Recordings|Calendar Data|Browsing History,19,2,No,1,Strong,4.3,No,No,No,No,1925,23.7,64.1
QuickBite,Food Delivery,211.9,Device Identifiers|Payment Details|Email|Watch/Listen History|Browsing History|Search History|Voice Recordings|Phone Number|Biometric Data,3,5,Yes,1,Basic,4.1,Yes,Yes,No,No,830,5.7,4.3
DailyLoop,News & Media,338.0,Payment Details|Social Graph|Email|Watch/Listen History|Approximate Location|Search History|Device Identifiers,22,18,Yes,0,Strong,5.7,Yes,Yes,No,Yes,1349,0.9,54.0
AutoHome,Smart Home / IoT,446.7,Payment Details|Voice Recordings|Biometric Data|Watch/Listen History|Browsing History|Precise Location|Messages Content|Phone Number|Email,20,5,No,2,Strong,8.9,Yes,Yes,No,No,2522,18.0,41.0
PlayArena,Gaming,445.4,Photos|Payment Details|Messages Content|Voice Recordings|Email|Social Graph|Contacts|Health Metrics|Approximate Location,6,15,Yes,0,Basic,7.7,No,No,No,No,715,24.5,37.1
StayFinder,Travel,26.5,Approximate Location|Watch/Listen History|Device Identifiers|Browsing History|Health Metrics|Calendar Data|Precise Location|Contacts|IP Address|Voice Recordings,3,11,Yes,0,Basic,1,Yes,Yes,No,Yes,1389,17.7,43.0
FinTrust,Finance,403.1,Calendar Data|Email|Search History|Messages Content|Payment Details|Phone Number,22,5,No,0,Basic,5.1,No,No,No,No,2093,26.8,47.8
DineFast,Food Delivery,399.2,Purchase History|Voice Recordings|Watch/Listen History|Health Metrics|Approximate Location|Contacts|Precise Location,8,4,No,1,Strong,2.4,Yes,Yes,No,Yes,1333,9.0,39.3
EduTrack,Education,277.2,Search History|Phone Number|Purchase History|Device Identifiers|Payment Details|Watch/Listen History,14,8,No,1,Strong,8.7,Yes,Yes,No,No,2299,23.6,34.0
CoursePath,Education,263.6,Purchase History|Health Metrics|Precise Location|Device Identifiers|Approximate Location,16,1,Yes,0,Basic,4.9,Yes,Yes,No,No,421,17.2,37.8
NoteVault,Productivity,147.7,Health Metrics|Contacts|Approximate Location|Photos,21,3,No,0,Strong,8.1,No,No,No,No,1567,13.2,63.3
GoTrail,Travel,122.2,Payment Details|Watch/Listen History|Purchase History|Precise Location|Messages Content|Calendar Data|Health Metrics|Social Graph|Phone Number|Contacts,19,7,Yes,1,Strong,10,Yes,Yes,No,No,163,13.8,49.3
LearnHub,Education,130.2,Health Metrics|IP Address|Photos|Biometric Data|Device Identifiers|Purchase History|Email,10,3,No,0,Strong,7.2,Yes,No,No,No,2403,16.9,6.1
PixelFeed,Social Media,407.4,Photos|Messages Content|Biometric Data|Email|Contacts|Approximate Location|Health Metrics|Precise Location|Full Name|Calendar Data|Purchase History,11,21,No,3,Strong,5.8,Yes,Yes,Yes,Yes,608,25.4,22.7
RoamEasy,Travel,112.7,Browsing History|Watch/Listen History|Calendar Data|Full Name|Voice Recordings|Contacts|Biometric Data,7,6,No,1,Strong,6.4,Yes,Yes,No,Yes,715,12.3,53.1
PixelRealm,Gaming,72.8,Purchase History|Photos|Biometric Data|Browsing History|Watch/Listen History|Search History,8,13,Yes,2,Basic,3.7,Yes,No,No,Yes,1982,10.8,29.4
RouteWise,Navigation,383.8,IP Address|Full Name|Browsing History|Contacts|Biometric Data|Device Identifiers|Email|Approximate Location,19,10,No,0,Strong,5.6,Yes,Yes,No,No,719,19.0,44.5
ChatWave,Social Media,335.7,Contacts|Watch/Listen History|IP Address|Precise Location|Phone Number|Approximate Location|Voice Recordings|Full Name|Messages Content|Health Metrics|Photos,10,20,Yes,0,Strong,8.6,Yes,Yes,No,Yes,1698,21.2,20.4
SleepWell,Health & Fitness,394.2,Calendar Data|Browsing History|IP Address|Messages Content|Precise Location|Health Metrics|Contacts|Full Name|Approximate Location|Purchase History|Email,8,2,Yes,0,Strong,7.8,Yes,No,No,No,1002,25.5,70.8
QuestBox,Gaming,423.3,Browsing History|Phone Number|Watch/Listen History|Purchase History|Voice Recordings|Precise Location|Full Name|Photos|Payment Details|Health Metrics,14,14,Yes,1,Strong,7.9,Yes,No,No,Yes,758,29.5,8.8
PlayLoop,Streaming,235.8,Voice Recordings|Payment Details|Calendar Data|Biometric Data|IP Address|Full Name,7,11,Yes,0,Basic,4.9,Yes,No,No,No,1012,23.0,35.0
GameVerse,Gaming,94.6,Calendar Data|Social Graph|Phone Number|Browsing History|IP Address|Device Identifiers|Approximate Location|Full Name,13,5,No,1,Basic,3.5,Yes,Yes,No,Yes,1437,20.5,17.4
FitTrack,Health & Fitness,103.0,Contacts|Phone Number|Photos|Search History|Payment Details|Browsing History|Approximate Location|Voice Recordings,15,2,Yes,1,Strong,4.8,Yes,No,Yes,No,2323,11.8,58.3
VitalSync,Health & Fitness,210.6,Calendar Data|IP Address|Watch/Listen History|Full Name|Precise Location|Phone Number|Search History|Health Metrics,3,4,Yes,0,Strong,7.8,No,Yes,Yes,No,1903,27.3,17.6
DocSync,Productivity,37.3,Contacts|Search History|Payment Details|Voice Recordings|Purchase History|Biometric Data|Approximate Location,7,2,Yes,0,Strong,9.7,No,Yes,No,Yes,2244,22.5,66.1
SoulSync,Dating,237.8,Watch/Listen History|Email|Contacts|Browsing History|Full Name|Phone Number|Calendar Data|Purchase History|Photos|Voice Recordings|Precise Location,6,6,Yes,2,Basic,6.4,Yes,No,Yes,Yes,805,1.1,19.6
CloudDesk,Productivity,433.7,Browsing History|Voice Recordings|Precise Location|Contacts|Payment Details,7,4,No,1,Strong,9.5,Yes,Yes,No,No,1433,7.7,66.7
MediCarePlus,Health & Fitness,68.8,Messages Content|Full Name|Contacts|Social Graph|Payment Details|Photos|IP Address|Purchase History|Search History|Phone Number,6,8,No,0,Basic,4.7,Yes,Yes,Yes,Yes,1669,15.6,15.9
WatchNow,Streaming,296.9,Biometric Data|Contacts|Health Metrics|Approximate Location,8,6,No,1,Strong,5.5,Yes,No,No,Yes,2474,22.8,64.0
MatchWave,Dating,363.3,Approximate Location|Health Metrics|Precise Location|Browsing History|IP Address|Phone Number|Payment Details|Messages Content|Full Name|Purchase History|Watch/Listen History|Photos|Device Identifiers,3,5,Yes,1,Basic,4.9,Yes,Yes,No,Yes,752,25.3,38.4
InfoWave,News & Media,48.8,Social Graph|Email|Watch/Listen History|Contacts|Precise Location|Messages Content|Device Identifiers,10,17,No,1,Strong,6.3,Yes,No,No,No,2554,28.5,17.3
